e,Treatment Function Title,Comments
342,Pulmonary Rehabilitation Service,"Formerly known as Programmed Pulmonary Rehabilitation. A multidisciplinary SERVICE for PATIENTS with chronic respiratory impairment. For further information, see: NHS England: Pulmonary rehabilitation"
343,Adult Cystic Fibrosis Service,"Multidisciplinary SERVICE concerned with the diagnosis, assessment and management of PATIENTS with cystic fibrosis. This TREATMENT FUNCTION CODE  should be used by designated specialist centres only. For further information, see: NHS England: Specialised Respiratory"
344,Complex Specialised Rehabilitation Service,"This TREATMENT FUNCTION CODE  will be removed from use from April 2022. No new services should use this code in submissions. However, the previous definition has been retained below for reference: Complex specialised rehabilitation SERVICE which meets the NHS Specialised Services Rehabilitation Services' criteria and is registered as a Level 1 service"
345,Specialist Rehabilitation Service,"This TREATMENT FUNCTION CODE will be removed from use from April 2022. No new services should use this code in submissions. However, the previous definition has been retained below for reference: Specialist rehabilitation SERVICE which meets the NHS Specialised Services Rehabilitation Services' criteria and is registered as a Level 2a service."
346,Local Specialist Rehabilitation Service,"This TREATMENT FUNCTION CODE will be removed from use from April 2022. No new services should use this code in submissions. However, the previous definition has been retained below for reference: Local specialist rehabilitation SERVICE which meets the NHS Specialised Services Rehabilitation Services' criteria and is registered as a Level 2b service."
347,Sleep Medicine Service,"SERVICESproviding diagnosis and management of sleep disorders including parasomnias, excessive daytime sleepiness and sleep apnoea. For further information, see: Royal Society of Medicine - Sleep Medicine Section"
348,Post-COVID-19 Syndrome Service,"Multidisciplinary SERVICES for PATIENTS experiencing long-term health effects following COVID-19 infection, whether or not this was diagnosed at the time of acute illness or the patient was initially asymptomatic. Post-COVID-19 syndrome has also been known as 'long COVID'. For further information, see: National Institute for Health and Care Excellence - COVID-19 guideline: management of the long-term effects of COVID-19  and NHS England and NHS Improvement coronavirus - National guidance for post-COVID syndrome assessment clinics"
350,Infectious Diseases Service,"SERVICESfor the diagnosis, management and treatment of infectious diseases. Excludes Tropical Medicine Service - see TREATMENT FUNCTION CODE 352. For further information, see: Joint Royal Colleges of Physicians Training Board - Infectious Diseases"
352,Tropical Medicine Service,"SERVICESfor the diagnosis, management and treatment of diseases that are found most often in tropical or sub-tropical regions. This TREATMENT FUNCTION CODE should be used by designated specialist centres only. Excludes Infectious Diseases Service - see TREATMENT FUNCTION CODE 350. For further information, see: Joint Royal Colleges of Physicians Training Board - Infectious Diseases and Tropical Medicine"
360,Genitourinary Medicine Service,"SERVICESfor the investigation and management of sexually transmitted infections and HIV. For further information, see: Joint Royal Colleges of Physicians Training Board - Genitourinary Medicine (GUM)"
361,Renal Medicine Service,"Formerly known as Nephrology. SERVICES for PATIENTS with acute renal failure and chronic kidney disease requiring long term care with the help of a Multidisciplinary Team. Most general medical problems in PATIENTS with kidney disease are managed by the Renal Medicine Service. Excludes acute renal replacement therapy in the critical care setting, see Intensive Care Medicine Service - TREATMENT FUNCTION CODE 192. For further information, see: Joint Royal Colleges of Physicians Training Board - Renal Medicine"
370,Medical Oncology Service,"SERVICESfor the specialised assessment and management of PATIENTS with cancer using chemotherapy. Includes treatment option discussions with PATIENTS, supervision of therapy and management of any complications of disease and/or treatment that may arise. For further information, see: Joint Royal Colleges of Physicians Training Board - Medical Oncology"
371,Nuclear Medicine Service,"SERVICESresponsible for administration of unsealed radioactive substances to PATIENTS for the purposes of diagnosis, therapy or research. For further information, see: Joint Royal Colleges of Physicians Training Board - Nuclear Medicine"
400,Neurology Service,"SERVICESfor the diagnosis, management and medical treatment of neurological conditions. Excludes Stroke Medicine Service - TREATMENT FUNCTION CODE  328, out-patients for Transient Ischaemic Attack Service - see TREATMENT FUNCTION CODE 329. For further information, see: Joint Royal Colleges of Physicians Training Board - Neurology"
401,Clinical Neurophysiology Service,"Primarily diagnostic SERVICE concerned with recording electrical activity from the nervous system to aid diagnosis, classification and management of neurological disease. Includes Electroencephalogram (EEG) and Electromyography (EMG). For further information, see: Joint Royal College of Physicians - Clinical Neurophysiology"
410,Rheumatology Service,"SERVICESincorporating the investigation, holistic management and rehabilitation of PATIENTS with a wide spectrum of disorders of the musculoskeletal system encompassing the locomotor apparatus, bone and connective tissues and blood vessels. For further information, see: Joint Royal College of Physicians - Rheumatology"
420,Paediatric Service,"Dedicated children's SERVICES for the treatment of patients typically aged 0 to 18 for medical conditions, however the environments and other members of the multidisciplinary service are likely to care for surgical PATIENTS too. For further information, see: Royal College of Paediatrics and Child Health - General paediatrics - level 3 training"
422,Neonatal Critical Care Service,"Formerly known as Neonatology. SERVICES providing care for all babies that require on-going, enhanced medical care following birth. Neonatal critical care SERVICES are provided in a variety of settings dependent upon the interventions required for the baby and with dedicated transport services to support babies being transferred to and from neonatal care units. Use when NEONATAL LEVEL OF CARE  = 1, 2 or 3. Includes Special Care Baby Units (SCBU), Local Neonatal Units (LNU) and Neonatal Intensive Care Units (NICU). Any readmission would be to Paediatric Service - see TREATMENT FUNCTION CODE 420, or Paediatric Intensive Care Service - see TREATMENT FUNCTION CODE 242. For further information, see: Royal College of Paediatrics and Child Health - Neonatal medicine - sub-specialty  and NHS England - E08. Neonatal Critical Care"
424,Well Baby Service,SERVICESfor healthy infants born and referenced by the Maternity record who do not require any intervention other than health screening and prophylactic healthcare. General care given by the mother/substitute with healthcare education if needed. Use when NEONATAL LEVEL OF CARE = 0 - Normal Care. Excludes Neonatal Critical Care Service - see TREATMENT FUNCTION CODE 422
430,Elderly Medicine Service,"Formerly known as Geriatric Medicine. SERVICES to treat diseases and disabilities in older adults, particularly those with multiple morbidities. There is no set age at which PATIENTS may be under the care of the Elderly Medicine Service, this decision should be determined by the individual PATIENT's needs. For further information, see: Joint Royal Colleges of Physicians Training Board - Geriatric Medicine"
431,Orthogeriatric Medicine Service,"Multidisciplinary SERVICES addressing clinical and social needs in the management of PATIENTS with fragility fractures, including hip fractures. The care provided aims to be holistic and to include secondary prevention of fractures as well as acute care. For further information, see: GM - Orthogeriatrics"
450,Dental Medicine Service,"SERVICESfor dental treatment carried out in a hospital setting. Includes Oral Medicine. For further information, see: British Dental Association"
451,Special Care Dentistry Service,"SERVICESconcerned with the improvement of the oral health of PATIENTS and groups in society who have a physical, sensory, intellectual, mental, medical, emotional or social impairment or DISABILITY or, more often, a combination of these factors. The specialty focuses on adolescents and adults only and includes the important period of transition as the adolescent moves into adulthood. For further information, see: Special Care Dentistry Association (SCDA)"
460,Medical Ophthalmology Service,"Medically-led SERVICES including assessment, investigation, diagnosis and management of inflammatory, vascular and neurological disorders affecting vision. May include public health screening, for example diabetic retinopathy screening. For further information, see: Joint Royal Colleges of Physicians Training Board - Medical Ophthalmology"
461,Ophthalmic and Vision Science Service,"SERVICESproviding physiological measurement of the function of the eye and vision. Includes diagnostic electrophysiology of vision, imaging and biometry. For further information, see: NHS Health Education England: Ophthalmic and vision science"
500,not a Treatment Function,
501,Obstetrics Service,"SERVICESmanaging high risk pregnancy and childbirth including miscarriages and stillbirths but specifically excluding planned terminations. Excludes Midwifery Service - see TREATMENT FUNCTION CODE 560. For further information, see: Royal College of Obstetricians & Gynaecologists - Obstetrics and Gynaecology"
502,Gynaecology Service,"SERVICESfor the diagnosis, management and treatment of disorders of the female reproductive system. Includes planned terminations of pregnancy. For further information, see: Royal College of Obstetricians & Gynaecologists - Obstetrics and Gynaecology"
503,Gynaecological Oncology Service,"SERVICESto treat cancers of the female reproductive system, principally involving surgical members of the Multidisciplinary Team. For further information, see: British Gynaecological Cancer Society"
504,Community Sexual and Reproductive Health Service,"SERVICESsupporting people to have a positive and respectful approach to sexuality and sexual relationships and to have pleasurable and safe sexual experiences, free of infection, coercion, discrimination and violence. The SERVICE also provides access to contraception and signposts Maternity Services to support pregnancy and childbirth. Excludes Genitourinary Medicine Service - see TREATMENT FUNCTION CODE 360 and Midwifery Service - see TREATMENT FUNCTION CODE 560. For further information, see: Faculty of Sexual and Reproductive Healthcare (FSRH)"
505,Fetal Medicine Service,SERVICESproviding specialist care at a designated centre for the fetus or fetuses and mother. This includes assessment of fetal growth and wellbeing; the diagnosis and management of identified fetal disorders (including fetal abnormalities); prenatal fetal intervention and surgery; and counselling and support for parents. Excludes routine maternity screening activities - see Midwifery Service  TREATMENT FUNCTION CODE  560.
510,Retired,"Record as Obstetrics, antenatal clinic can be used as a local sub-specialty if required"
520,Retired,"Record as Obstetrics, postnatal clinic can be used as a local sub-specialty if required"
600,not a Treatment Function,
610,Retired,Record as Obstetrics
620,Retired,Use the appropriate function under which the patient is treated
834,Medical Virology Service,"Clinical SERVICES for the diagnosis, management and prevention of blood-borne and/or airborne viral infections. For further information, see: Royal College of Pathologists - MEDICAL VIROLOGY"
Mental Health Services,,
656,Clinical Psychology Service,"Mental Health Servicesfor the assessment, management and treatment of problems including addiction, anxiety, depression, behavioural difficulties and relationship issues. Methods of assessment include psychometric tests, interviews and direct observation of behaviour. Assessment may lead to advice, counselling or therapy. For further information, see: The British Psychological Society"
700,Learning Disability Service,"Also known as Intellectual Disability Service. Mental Health Services provided to PATIENTS with a  Learning Disability. For further information, see: Royal College of Psychiatrists - Faculty of the Psychiatry of Intellectual Disability  and British Institute of Learning Disabilities"
710,Adult Mental Health Service,"Mental Health Servicesprovided to adult PATIENTS for the assessment, diagnosis and treatment of mental illness and maintenance of mental health. For further information, see: Royal College of Psychiatrists - Faculty of General Adult Psychiatry"
711,Child and Adolescent Psychiatry Service,"Mental Health Servicesfor children and young people with somatisation and complex presentations, behavioural challenges, eating disorders, mood disorders, anxiety, and other mental health presentations. Excludes Paediatric Neurodisability Service - see TREATMENT FUNCTION CODE 291 and specialist Eating Disorders Service - see TREATMENT FUNCTION CODE 720. For further information, see: Royal College of Psychiatrists - Faculty of Child and Adolescent Psychiatry"
712,Forensic Psychiatry Service,"Mental Health Servicesfor the assessment, management and treatment of PATIENTS who are being held in high, medium and low secure units or prisons. This includes prevention of further harm in the community or to the individual themselves. For further information, see: Royal College of Psychiatrists - Faculty of Forensic Psychiatry"
713,Medical Psychotherapy Service,"Formerly known as Psychotherapy. Multidisciplinary Mental Health Services to assess, manage and treat children and adults with mental health problems using talking therapies and other psychotherapeutic techniques. For further information, see: Faculty of Medical Psychotherapy"
715,Old Age Psychiatry Service,"Mental Health Servicesproviding the specialised assessment, treatment and continuing care for older adults suffering a range of mental illnesses, including dementia, depression or schizophrenia. Excludes specific Dementia Assessment Service - see TREATMENT FUNCTION CODE 727. For further information, see: Royal College of Psychiatrists - Faculty of Old Age Psychiatry"
720,Eating Disorders Service,"A specialist SERVICE for the diagnosis and treatment of eating disorders including anorexia, bulimia and compulsive overeating. This is usually a multidisciplinary service which needs to consider both physical and mental health aspects of the PATIENT's care. For further information, see: Royal College of Psychiatrists - Faculty of Eating Disorders Psychiatry"
721,Addiction Service,"Mental Health Servicesfor the treatment of addictive behaviour, including substance misuse, drugs, alcohol, tobacco and gambling. Excludes  PATIENTS  with both severe mental illness and problematic substance misuse, see Mental Health Dual Diagnosis Service - TREATMENT FUNCTION CODE  726. For further information, see: Royal College of Psychiatrists - Faculty of Addictions Psychiatry"
722,Liaison Psychiatry Service,"Mental Health Servicesfor the provision of psychiatric treatment to PATIENTS attending acute hospitals including Out-Patient Clinics,  Emergency Care Departments  and admission to WARDS. Deals with the interface between physical and psychological health. For further information, see: Royal College of Psychiatrists - Faculty of Liaison Psychiatry"
723,Psychiatric Intensive Care Service,"Mental Health Servicesprovided to vulnerable individuals with severe disturbances who are admitted to Psychiatric Intensive Care Units from mental health acute wards and forensic settings. For further information, see: Royal College of Psychiatrists - Quality Network for Psychiatric Intensive Care Units"
724,Perinatal Mental Health Service,"Formerly known as Perinatal Psychiatry. Specialist Mental Health Services for the assessment, management and treatment of pre-existing or new mental health issues during pregnancy or after delivery. For further information, see: Royal College of Psychiatrists - Faculty of Perinatal Psychiatry"
725,Mental Health Recovery and Rehabilitation Service,"Mental Health Servicesprovided to support recovery from mental illness that maximises the PATIENTS' quality of life and social inclusion by encouraging their skills, promoting independence and autonomy. For further information, see: Faculty of Rehabilitation and Social Psychiatry"
726,Mental Health Dual Diagnosis Service,"Mental Health Servicesto provide support to  PATIENTS  with both severe mental illness and substance misuse problems. For further information, see: Mind: Recreational drugs, alcohol and addiction"
727,Dementia Assessment Service,"Designated Mental Health Services for the assessment of PATIENTS who have or are suspected to have dementia. Dementia complicates care giving and can occur at any stage of the illness and at any age. In addition to memory impairment, dementia may include behavioural and psychological problems. For non-specific Old Age Psychiatry Service - see TREATMENT FUNCTION CODE 715. For further information, see: Royal College of Psychiatrists - Dementia pathway"
730,Neuropsychiatry Service,"Mental Health Servicesfor brain disorders and integration of psychiatry within clinical neurosciences. For further information, see: Royal College of Psychiatrists - Faculty of Neuropsychiatry"
Other Services,,
560,Midwifery Service,"SERVICESfor managing antenatal and perinatal care during pregnancy, and postnatal care following delivery, provided under the direct care of a MIDWIFE. Excludes Obstetrics Service - see TREATMENT FUNCTION CODE  501. For further information, see: Royal College of Midwives"
650,Physiotherapy Service,"SERVICEShelping PATIENTS affected by injury, illness or DISABILITY through movement and exercise, manual therapy, education and advice to manage pain and prevent disease. To encourage development and facilitate recovery, enabling maintenance of work and independence for as long as possible. For further information, see: Chartered Society of Physiotherapy (CSP) - Physiotherapy"
651,Occupational Therapy Service,SERVICESusing specific activities to limit the effects of DISABILITY and promote independence in all aspects of daily life
652,Speech and Language Therapy Service,"SERVICESproviding assessment, management and treatment of speech, language, communication and swallowing issues in PATIENTS of all ages. For further information, see: Royal College of Speech & Language Therapists - Speech and language therapy"
653,Podiatry Service,"Also known as Chiropody. SERVICES for the diagnosis and treatment of disorders, diseases and deformities of the feet. Excludes Podiatric Surgery Service - see TREATMENT FUNCTION CODE  663. For further information, see: The College of Podiatry"
654,Dietetics Service,"SERVICESapplying the science of nutrition to improve health and treat diseases/conditions by educating and giving practical, personalised advice to PATIENTS, Patient Proxies and other members of the Multidisciplinary Team. They advise on and help to maintain nutritional status during dietary interventions such as exclusion diets and to recommend nutritional supplements. For further information, see: British Dietetic Association"
655,Orthoptics Service,"SERVICESproviding the diagnosis and treatment of visual problems involving eye movement and alignment. For further information, see: British and Irish Orthoptic Society"
657,Prosthetics Service,"SERVICESproviding gait analysis and engineering solutions to patients with limb loss. They design and provide prostheses that replicate the structural or functional characteristics of the PATIENTS absent limb. They often work autonomously or part of Multidisciplinary Teams working closely with Physiotherapists and Occupational Therapists as part of multidisciplinary amputee rehabilitation teams. For further information, see: British Association of Prosthetists and Orthotists (BAPO) - Prosthetists"
658,Orthotics Service,"SERVICESproviding gait analysis and engineering solutions to PATIENTS with needs of the neuro, muscular and skeletal systems. They design and provide orthoses that modify the structural or functional characteristics of the PATIENTS neuro-muscular and skeletal systems enabling patients to mobilise, eliminate gait deviations, reduce falls, reduce pain, prevent and facilitate healing of ulcers. They often work autonomously or part of Multidisciplinary Teams such as within the diabetic foot team or neuro-rehabilitation team. For further information, see: The British Association of Prosthetists and Orthotists (BAPO) - Orthotists"
659,Dramatherapy Service,"SERVICESproviding dramatherapy which is a form of psychological therapy focussing on the use of performance arts within the therapeutic relationship. For further information, see: British Association of Dramatherapists"
660,Art Therapy Service,"SERVICESdelivering a form of psychotherapy that uses art media as its primary mode of expression and communication. Within this context, art is not used as diagnostic tool but as a medium to address emotional issues which may be confusing and distressing. For further information, see: British Association of Art Therapists"
661,Music Therapy Service,"SERVICESdelivering a form of psychotherapy that uses music to support psychological, emotional, cognitive, physical, communicative and/or social needs. For further information, see: British Association for Music Therapy"
662,Optometry Service,SERVICESproviding the diagnosis and non-surgical treatment of disorders of the eye and vision care
663,Podiatric Surgery Service,"SERVICESinvolved in the complex management of the foot and ankle involving surgery under both local and general anaesthetic. Excludes Podiatry Service - see TREATMENT FUNCTION CODE  - 653. For further information, see: The College of Podiatry"
670,Urological Physiology Service,"Diagnostic SERVICES for the study of erectile, upper and lower urinary tract function, including urodynamics. For further information, see: The British Association of Urological Surgeons"
673,Vascular Physiology Service,"Diagnostic SERVICES for the study of arterial and venous circulation primarily using Doppler ultrasound but including tests such as pressure measurement and plethysmography. Excludes Cardiac Physiology Service - see TREATMENT FUNCTION CODE 675. For further information, see: The Society for Vascular Technology"
675,Cardiac Physiology Service,"SERVICESproviding physiological measurements of the heart structure/function and response to therapeutic/surgical intervention through the means of a wide spectrum of non-invasive and invasive cardiac diagnostic testing. Examples include echocardiography, cardiac device management. For further information, see: Society for Cardiological Science and Technology (SCST)"
677,Gastrointestinal Physiology Service,"SERVICES providing physiological measurement of the gastrointestinal tract. This includes standard catheter based oesophageal pH studies, oesophageal pH impedance, oesophageal manometry, ano-rectal manometry, wireless capsule studies. Excludes Gastroenterology Service - see TREATMENT FUNCTION CODE  301. For further information, see: AGIP - Association of GI Physiologists"
800,Clinical Oncology Service,"Formerly known as Radiotherapy. The diagnosis and treatment, typically with Radiotherapy, of PATIENTS with cancer. For further information, see: Royal College of Radiologists - Clinical oncology"
810,not a Treatment Function,
811,Interventional Radiology Service,"SERVICESdelivering a range of techniques using radiological image guidance including X-ray fluoroscopy, ultrasound,  Computerised Tomography Scan, or Magnetic Resonance Imaging Scan  (MRI) to precisely target therapy. Excludes Interventional Cardiology - see Cardiology Service TREATMENT FUNCTION CODE 320, and Diagnostic Imaging Service - see TREATMENT FUNCTION CODE 812. For further information, see: British Society of Interventional Radiology - What is Interventional Radiology"
812,Diagnostic Imaging Service,"SERVICESproviding medical imaging, especially X-ray based examinations, Ultrasound scan, MRI Scan, PET Scan or CT Scan. Diagnostic imaging is used to confirm, assess and document diseases, as well as to assess responses to treatment. For further information, see: WHO: Diagnostic imaging"
820,not a Treatment Function,
821,not a Treatment Function,
822,Chemical Pathology Service,"SERVICESinterpreting biochemical investigation results to assess, diagnose and treat diseases. To be used for the clinical management of PATIENTS by chemical pathology only. For further information, see: Royal College of Pathologists - CHEMICAL PATHOLOGY"
823,not a Treatment Function,See Clinical Haematology
824,not a Treatment Function,
830,not a Treatment Function,See Clinical Immunology
831,not a Treatment Function,See Clinical Microbiology
832,Retired,
840,Audiology Service,"SERVICES providing physiological measurement and diagnosis of hearing disorders, and the rehabilitation of PATIENTS with hearing loss. Include hearing services activity, such as hearing tests and the fitting of hearing aids. For further information, see: British Society of Audiology"
900,not a Treatment Function,
901,not a Treatment Function,
902,not a Treatment Function,
903,not a Treatment Function,
904,not a Treatment Function,
920,Diabetic Education Service,SERVICESproviding dedicated small group education courses regarding self-management for diabetic PATIENTS
950,not a Treatment Function,Use the appropriate function under which the patient is treated
960,not a Treatment Function,Use the appropriate function under which the patient is treated
990,Retired,
